,name,username,license,tags,freesound_id,path
0,Lulu04.flac,Erdie,https://creativecommons.org/licenses/by/4.0/,"['animal', 'cat', 'cry', 'meow', 'moan', 'pet']",459487,data/collections/barnyard/sounds/459487_118241-hq.ogg
1,meow.wav,xpoki,https://creativecommons.org/licenses/by/4.0/,"['animal', 'cat', 'cats', 'feline', 'kitty', 'meow', 'meowing']",432759,data/collections/barnyard/sounds/432759_5140792-hq.ogg
2,female cat short meoow,Lupsi,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'feline', 'kitten', 'meow', 'mew']",448018,data/collections/barnyard/sounds/448018_9260253-hq.ogg
3,meow_02.wav,jarl_fenrir,https://creativecommons.org/licenses/by/4.0/,"['cat', 'meow', 'scarred']",563280,data/collections/barnyard/sounds/563280_12618096-hq.ogg
4,Яingo's meow,ЯicheyTC,https://creativecommons.org/licenses/by/4.0/,"['animal', 'cat', 'feline', 'meow', 'meowing', 'purr', 'tomcat']",835689,data/collections/barnyard/sounds/835689_3398040-hq.ogg
5,Cat- Salem.mp3,springtwister,http://creativecommons.org/publicdomain/zero/1.0/,"['Mew', 'animal', 'animals', 'cat', 'domestic', 'feline', 'kitty', 'loud', 'meow', 'pet', 'pets', 'squawk', 'yowl']",516516,data/collections/barnyard/sounds/516516_11288216-hq.ogg
6,Cat waking up,HenKonen,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'feline', 'meow', 'purr', 'sleeping', 'waking']",757186,data/collections/barnyard/sounds/757186_10938187-hq.ogg
7,Cat_Meow,Countrygirls13,http://creativecommons.org/publicdomain/zero/1.0/,"['angry', 'animal', 'audio', 'cat', 'creature', 'feline', 'happy', 'kitten', 'kitty', 'meow', 'noise', 'sound']",763906,data/collections/barnyard/sounds/763906_13111422-hq.ogg
8,Begging Meow,Lukey1028,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'kitty', 'meow', 'pet']",732521,data/collections/barnyard/sounds/732521_13416215-hq.ogg
9,meow-1.wav,nathan-osman,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'feline', 'kitten', 'kitty', 'meow', 'meowing']",686775,data/collections/barnyard/sounds/686775_2956624-hq.ogg
10,Cat single meow 2,ebcrosby,http://creativecommons.org/licenses/by/3.0/,"['animal', 'cat', 'meow', 'pet']",334434,data/collections/barnyard/sounds/334434_5842557-hq.ogg
11,"""Nya!"" Cute Anime Neko (Cat Girl) Voice Sound Effect [Voiced By DarkNightPrincess]",DarkNightPrincess,http://creativecommons.org/publicdomain/zero/1.0/,"['Adorable', 'Anime', 'AnimeGirl', 'AnimeVoice', 'Cat', 'Catgirl', 'Cute', 'CuteGirl', 'CuteVoice', 'DarkNightPrincess', 'Girl', 'GirlVoice', 'Kawaii', 'Meow', 'Meowing', 'Neko', 'Nya', 'SoundEffect', 'VA', 'Voice', 'VoiceActor', 'VoiceActress', 'VoiceOver', 'Waifu']",625317,data/collections/barnyard/sounds/625317_13567167-hq.ogg
12,Cat meow.m4a,Christyboy100,http://creativecommons.org/licenses/by/3.0/,"['annoyed', 'cat', 'meow']",495694,data/collections/barnyard/sounds/495694_10430677-hq.ogg
13,catmeow1,Yoyodaman234,http://creativecommons.org/publicdomain/zero/1.0/,"['cai', 'cat', 'catmeow', 'catmeow1', 'clean', 'longing', 'meow', 'sad', 'wanting']",156643,data/collections/barnyard/sounds/156643_2792951-hq.ogg
14,Kitten02amplified.wav,Kyster,https://creativecommons.org/licenses/by/4.0/,"['animal', 'cat', 'domestic', 'kitten', 'meow', 'remix']",83834,data/collections/barnyard/sounds/83834_646701-hq.ogg
15,mew.wav,Ayana225,http://creativecommons.org/publicdomain/zero/1.0/,"['Cat', 'meow', 'mew']",615893,data/collections/barnyard/sounds/615893_13661217-hq.ogg
16,Cute Kitten Meow,Breviceps,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'cute', 'kitten', 'kitty', 'meow', 'meowing']",448084,data/collections/barnyard/sounds/448084_9159316-hq.ogg
17,Cat Meow #1,FairhavenCollection,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'feline', 'kitten', 'kitty', 'meow', 'meowing', 'purr']",372900,data/collections/barnyard/sounds/372900_4357738-hq.ogg
18,Stupid chime,CAT-FOX_ALEX,http://creativecommons.org/publicdomain/zero/1.0/,"['Cartoon', 'Chime', 'Effect', 'FX', 'Game', 'Magic', 'Meau', 'SFX', 'Stupid', 'UI']",859301,data/collections/barnyard/sounds/859301_17675683-hq.ogg
19,cat Prr and Meow.wav,Spyboticer,http://creativecommons.org/publicdomain/zero/1.0/,"['Animal', 'Cat', 'Effect']",407188,data/collections/barnyard/sounds/407188_7113933-hq.ogg
20,Cat - meowing - angry - cackling.wav,ValentinPetiteau,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'feline', 'kitten', 'kitty', 'meow', 'meowing', 'pet', 'purr', 'purring']",647657,data/collections/barnyard/sounds/647657_10443988-hq.ogg
21,Cartoon Meow From Scratch,ozzyfurryreal2023,https://creativecommons.org/licenses/by-nc/4.0/,"['cat', 'meow', 'mew']",672993,data/collections/barnyard/sounds/672993_14659210-hq.ogg
22,cat meow short,skymary,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'meow', 'sound']",412017,data/collections/barnyard/sounds/412017_3652520-hq.ogg
23,CatMeow_Small.wav,ZJ-Davis,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'meow', 'real', 'short', 'small']",618900,data/collections/barnyard/sounds/618900_10988110-hq.ogg
24,New Cat Meow 1,steffcaffrey,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'cry', 'feline', 'kitteh', 'kitten', 'kitty', 'meow', 'meowing', 'meows', 'mew', 'miaow', 'vocal']",479272,data/collections/barnyard/sounds/479272_1844073-hq.ogg
25,meow51252153 (2).ogg,suicdxsaturday,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'meow', 'sound']",698633,data/collections/barnyard/sounds/698633_15151174-hq.ogg
26,Cat Call (Meow),Jofae,http://creativecommons.org/publicdomain/zero/1.0/,"['angry', 'animal', 'annoyed', 'audio', 'call', 'cat', 'creature', 'effect', 'feline', 'kit', 'kitten', 'kitty', 'mammal', 'meow', 'pet', 'sound', 'upset']",362953,data/collections/barnyard/sounds/362953_6512973-hq.ogg
27,Cat_meow_once.wav,daboy291,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'high-pitched', 'meow']",138044,data/collections/barnyard/sounds/138044_1839281-hq.ogg
28,cat-meow-mp3,Eddy_86_,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'meow']",733767,data/collections/barnyard/sounds/733767_15945019-hq.ogg
29,My cat's meow,LiteSouris,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'cat', 'cats', 'feline', 'meow', 'quiet']",852808,data/collections/barnyard/sounds/852808_5700379-hq.ogg
30,Cat Meow,d.n.audio.uk,http://creativecommons.org/publicdomain/zero/1.0/,"['Animal', 'Cat', 'Meow', 'Pet']",264507,data/collections/barnyard/sounds/264507_147613-hq.ogg
31,LITTLE CAT MEOW.mp3,escobarrb26,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'kitten', 'meow']",538527,data/collections/barnyard/sounds/538527_11412454-hq.ogg
32,mr spock meow,killumimati,http://creativecommons.org/publicdomain/zero/1.0/,"['cat', 'meow', 'mr-spock']",381761,data/collections/barnyard/sounds/381761_7079898-hq.ogg
33,cat5.mp3,Taira Komori,https://creativecommons.org/licenses/by/4.0/,"['cat', 'cats', 'meow', 'miaou', 'miau']",213136,data/collections/barnyard/sounds/213136_1979597-hq.ogg
34,Cat Meow.wav,kklab5050,http://creativecommons.org/licenses/by/3.0/,"['cat', 'meow']",120017,data/collections/barnyard/sounds/120017_169053-hq.ogg
35,Cat meow,TRNGLE,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'animals', 'cat', 'cats', 'kitten', 'kitty', 'meow', 'meowing', 'pet', 'pets', 'purr', 'purring', 'sfx']",362652,data/collections/barnyard/sounds/362652_5966858-hq.ogg
36,cat meow.wav,cameronmusic,http://creativecommons.org/licenses/by/3.0/,"['animal', 'cat', 'meow']",138404,data/collections/barnyard/sounds/138404_2217665-hq.ogg
37,Cat Meow,Mafon2,http://creativecommons.org/publicdomain/zero/1.0/,"['Meow', 'animal', 'cat', 'kitten', 'pet']",436541,data/collections/barnyard/sounds/436541_1196472-hq.ogg
