,freesound_id,path,start_sample,end_sample,mean_pitch,loudness,voiced_fraction,pitch_drift_cents,pitch_confidence,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,516516,data/collections/barnyard/sounds/516516_11288216-hq.ogg,1024,14720,76.0,0.002365030572033946,1.0,32.8617785258499,0.010472919791936874,-903.76013,106.18022,-124.37009,30.741121,24.236797,5.557681,-4.9582467,-3.577962,13.635667,-0.8692761,-16.883125,13.524043,-6.5529428
1,625317,data/collections/barnyard/sounds/625317_13567167-hq.ogg,10752,32128,65.0,0.0012327913467872667,1.0,48.22778763515862,0.010249393992125988,-953.5303,103.44875,-4.130992,11.217833,-9.605259,-5.4452333,11.612829,-27.212885,-1.5919836,-25.852535,-10.764311,-11.903788,-0.15231188
2,495694,data/collections/barnyard/sounds/495694_10430677-hq.ogg,16768,29824,74.0,0.003983614707004481,1.0,20.818633790978318,0.03736130893230438,-900.1495,142.19429,-1.4252862,-3.4793956,0.39948046,3.216957,8.757184,-4.2399526,7.173734,25.901495,4.6136065,31.376007,25.1444
3,859301,data/collections/barnyard/sounds/859301_17675683-hq.ogg,0,42240,87.0,0.05247644866822453,1.0,8.090228910010577,0.09637451171875,-820.4718,-163.35132,-46.14317,-32.55018,-51.526676,-35.53283,-24.528166,1.327753,22.415947,-4.9364815,12.730232,18.210093,-27.157393
4,647657,data/collections/barnyard/sounds/647657_10443988-hq.ogg,16768,29696,82.0,0.02500828866607898,1.0,43.33060729941481,0.1275925189256668,-893.7961,11.644908,-156.11601,-11.740372,-35.620586,-39.27342,5.081493,34.661743,23.524485,-12.225434,-29.873571,-37.389076,-28.93588
5,672993,data/collections/barnyard/sounds/672993_14659210-hq.ogg,13696,30080,80.0,0.09373933919963914,1.0,18.162098965373325,0.45254579186439514,-869.1712,103.98553,-17.531868,-22.739958,-3.501265,-8.512007,-17.718115,41.71447,42.273018,53.35162,12.414087,-65.88907,-65.55742
6,618900,data/collections/barnyard/sounds/618900_10988110-hq.ogg,15872,28800,82.0,0.006432525224437295,1.0,41.135274462135634,0.025767600163817406,-909.356,46.421757,-97.980354,-11.344174,-16.13137,11.00397,-15.978953,10.943568,9.224534,-26.796144,-17.78596,-28.19576,-26.338371
7,618900,data/collections/barnyard/sounds/618900_10988110-hq.ogg,29056,49920,81.0,0.0015858896375410697,1.0,25.254030909629527,0.025767600163817406,-1050.7358,78.7097,-41.585136,-5.582679,-9.605438,-13.806361,-24.881641,12.498419,1.1866647,-10.092894,-28.370138,-46.40701,-35.296963
8,698633,data/collections/barnyard/sounds/698633_15151174-hq.ogg,7680,40320,78.0,0.14090601938555516,1.0,40.21525989542425,0.3725469708442688,-768.68835,11.380294,-99.26343,-64.44538,18.721186,-5.470757,7.1946354,23.925484,25.5659,65.5736,19.167068,1.2982451,-30.963278
9,362953,data/collections/barnyard/sounds/362953_6512973-hq.ogg,3200,21632,72.0,0.15547711411914714,1.0,46.860008697722456,0.40340861678123474,-644.41064,73.05593,-125.31606,53.277622,-30.430004,46.605484,-16.333637,0.82620853,7.58285,1.0071524,13.305598,23.723616,24.420853
10,138044,data/collections/barnyard/sounds/138044_1839281-hq.ogg,4352,17536,86.0,0.020725082441111972,1.0,49.50648279027982,0.04849179834127426,-887.7608,31.22644,-42.230827,57.105328,3.645995,40.882114,60.05013,19.794527,-3.3585346,-24.116262,-30.756706,39.42149,51.081116
11,138044,data/collections/barnyard/sounds/138044_1839281-hq.ogg,17792,31104,86.0,0.006779290819524765,1.0,12.94052991116353,0.04849179834127426,-922.04395,108.26602,-20.01642,26.300423,8.050424,39.094532,51.58835,-4.070689,2.710076,-18.310541,-18.921274,44.0726,44.610687
12,733767,data/collections/barnyard/sounds/733767_15945019-hq.ogg,3584,24192,74.0,0.25133002877134425,1.0,48.55749128058324,0.4698948264122009,-599.8708,-10.9942,-97.900345,34.54107,6.556777,-5.674246,-8.717606,32.588936,-4.2926397,16.913382,34.296127,5.840429,12.559451
13,264507,data/collections/barnyard/sounds/264507_147613-hq.ogg,16768,30208,78.0,0.01622915429356557,1.0,36.74532415938403,0.0505712516605854,-822.2822,16.164133,-128.1629,63.073093,-18.367521,8.795185,13.108515,46.74725,49.977394,35.81043,-2.406359,-9.373725,-23.767382
14,264507,data/collections/barnyard/sounds/264507_147613-hq.ogg,30464,43648,78.0,0.00987712623883778,1.0,15.772525308872938,0.0505712516605854,-851.8527,46.62576,-133.27223,56.20384,-28.434616,22.569822,21.650408,26.672926,39.31093,51.683945,-2.946914,-8.671953,-22.237226
15,213136,data/collections/barnyard/sounds/213136_1979597-hq.ogg,16768,40448,73.0,0.11984954241268822,1.0,22.408376322366628,0.16434000432491302,-773.13135,71.459724,-80.49425,36.35455,12.108358,32.014706,-29.0637,13.971068,21.918581,1.2184887,50.121525,19.425018,11.2181425
16,362652,data/collections/barnyard/sounds/362652_5966858-hq.ogg,30976,45312,72.0,0.019886553540545627,1.0,30.555735006695727,0.10469528287649155,-772.95746,59.446648,-132.51112,14.42317,-45.069736,21.622366,-44.054203,-5.7954636,13.05828,4.6433997,33.01759,15.995147,17.670794
17,478733,data/collections/barnyard/sounds/478733_10179256-hq.ogg,18176,31360,78.0,0.01442323414275774,1.0,10.942966747947965,0.06486203521490097,-813.11383,86.423645,-48.840862,-1.2512094,-9.54102,33.296383,-25.027285,32.139324,29.059675,10.634549,22.432981,-3.1485758,-21.868774
18,581532,data/collections/barnyard/sounds/581532_13127011-hq.ogg,10112,23296,66.0,0.002634481049504717,1.0,32.222962394132885,0.023819955065846443,-995.1058,218.69788,-7.57489,-35.54047,-1.7441658,-7.003815,1.5919691,-2.719963,-25.880224,-10.905883,12.931274,1.8146976,-7.6469207
19,714179,data/collections/barnyard/sounds/714179_12865696-hq.ogg,11008,32128,72.0,0.006837886613630502,1.0,43.47117330708701,0.030795441940426826,-928.86847,45.835823,-105.62679,45.340023,24.66171,-4.1961718,-5.0789347,18.967499,-12.192062,-11.254499,35.950787,7.231252,13.177876
