,name,username,license,tags,freesound_id,path
0,Low Bamboo Flute.wav,PanPiper5,http://creativecommons.org/publicdomain/zero/1.0/,"['Bamboo', 'Blow', 'Ethnic', 'Flute', 'Instrument', 'Low', 'Note', 'Wind', 'World']",659915,data/collections/instruments/sounds/659915_8499836-hq.ogg
1,Flute Play C - 14.wav,cms4f,http://creativecommons.org/publicdomain/zero/1.0/,"['Acoustic', 'Flute', 'Instruments']",159136,data/collections/instruments/sounds/159136_2018306-hq.ogg
2,ocarina 2.wav,Narjara,http://creativecommons.org/publicdomain/zero/1.0/,"['bird', 'blow', 'ceramic', 'flute', 'ocarina', 'windy']",527521,data/collections/instruments/sounds/527521_11664626-hq.ogg
3,flute_note_tremolo.wav,hellska,http://creativecommons.org/publicdomain/zero/1.0/,"['300Hz', 'flute', 'single-note', 'vibrato']",328727,data/collections/instruments/sounds/328727_113801-hq.ogg
4,flute-A4.wav,xserra,https://creativecommons.org/licenses/by-nc/4.0/,"['440Hz', 'A4', 'flute', 'mezzoforte', 'non-vibrato', 'note', 'tenuto', 'transverse-flute', 'woodwind']",205513,data/collections/instruments/sounds/205513_43-hq.ogg
5,ocarina 1.wav,Narjara,http://creativecommons.org/publicdomain/zero/1.0/,"['bird', 'blow', 'ceramic', 'flute', 'ocarina', 'windy']",527520,data/collections/instruments/sounds/527520_11664626-hq.ogg
6,Clay bird flute 2.wav,juskiddink,https://creativecommons.org/licenses/by/4.0/,"['bird', 'blow', 'clay', 'flute', 'whistle']",113692,data/collections/instruments/sounds/113692_649468-hq.ogg
7,Zanka Note D.wav,PanPiper5,http://creativecommons.org/publicdomain/zero/1.0/,"['bass', 'ethnic', 'flute', 'instrument', 'no-vibrato', 'note', 'panflute', 'panpipe', 'pitch-stability', 'zampona', 'zanka']",427080,data/collections/instruments/sounds/427080_8499836-hq.ogg
8,"Tin Whistle, Flutter, A (H1).wav",InspectorJ,https://creativecommons.org/licenses/by/4.0/,"['Flute', 'Flutter', 'Fluttertongue', 'Tin', 'Tongue', 'Tonguing', 'Whistle', 'Woodwind', 'flute', 'flutter', 'fluttertongue', 'tin', 'tongue', 'tonguing', 'whistle', 'woodwind']",410406,data/collections/instruments/sounds/410406_5121236-hq.ogg
9,Flute - C5 - bad-richness,MTG,http://creativecommons.org/licenses/by/3.0/,"['C5', 'flute', 'good-sounds', 'multisample', 'neumann-U87', 'single-note']",360256,data/collections/instruments/sounds/360256_6552981-hq.ogg
10,Freed-back - 6.wav,hello_flowers,http://creativecommons.org/publicdomain/zero/1.0/,"['chill', 'feedback', 'flutes', 'mellow', 'native']",32926,data/collections/instruments/sounds/32926_199517-hq.ogg
11,1 second nose flute.WAV,gurdonark,http://creativecommons.org/licenses/by/3.0/,"['flute', 'nose', 'noseflute', 'note', 'single', 'whistle']",31511,data/collections/instruments/sounds/31511_59021-hq.ogg
12,Transverse-Flute C-4 Tenuto Non-Vibrato,Carlos_Vaquero,https://creativecommons.org/licenses/by-nc/4.0/,"['aerophone', 'c-4', 'flute', 'mezzoforte', 'multisample', 'non-vibrato', 'tenuto', 'transverse-flute', 'woodwind', 'zoom-h2n']",154237,data/collections/instruments/sounds/154237_2626346-hq.ogg
13,Flute - staccato - C5 (LDFlute_stac_C4_v4_rr2.wav),sgossner,http://creativecommons.org/publicdomain/zero/1.0/,"['c5', 'flute', 'midi-note-72', 'midi-velocity-111', 'multisample', 'single-note', 'staccato', 'vsco-2', 'woodwinds']",373363,data/collections/instruments/sounds/373363_2475994-hq.ogg
14,overall quality of single note - flute - C4,yano1,http://creativecommons.org/publicdomain/zero/1.0/,"['C4', 'flute', 'good-sounds', 'multisample', 'pabloproject', 'single-note']",257363,data/collections/instruments/sounds/257363_4755274-hq.ogg
15,Transverse-Flute C-7 Tenuto Vibrato,Carlos_Vaquero,https://creativecommons.org/licenses/by-nc/4.0/,"['aerophone', 'c-7', 'flute', 'mezzoforte', 'multisample', 'tenuto', 'transverse-flute', 'vibrato', 'woodwind', 'zoom-h2n']",154274,data/collections/instruments/sounds/154274_2626346-hq.ogg
16,SF robotic sound (deformed Greensleeves) ,djtrifun,http://creativecommons.org/licenses/by-nc/3.0/,"['ASPMA', 'flute', 'robotic', 'transformation']",332230,data/collections/instruments/sounds/332230_5526814-hq.ogg
17,pan.flute.wav,dobroide,https://creativecommons.org/licenses/by/4.0/,"['flute', 'musical-instruments', 'wind']",13155,data/collections/instruments/sounds/13155_8043-hq.ogg
18,flute_reverberation_in_D.wav,Dmytro_Volovnenko,https://creativecommons.org/licenses/by-nc/4.0/,"['d-minor', 'flute', 'note', 'reverberation', 'wind-instrument']",332631,data/collections/instruments/sounds/332631_5854702-hq.ogg
19,Shak1.wav,Draconihype,https://creativecommons.org/licenses/by/4.0/,"['flute', 'japanese', 'shakuhachi']",84870,data/collections/instruments/sounds/84870_1210039-hq.ogg
20,Videogame SFX 3,ramonarqu,http://creativecommons.org/publicdomain/zero/1.0/,"['flute', 'scary', 'tremolo']",812126,data/collections/instruments/sounds/812126_6957896-hq.ogg
21,fluter.wav,Kara,http://creativecommons.org/licenses/sampling+/1.0/,"['instrument', 'synth']",52532,data/collections/instruments/sounds/52532_47743-hq.ogg
22,Humanatone_31.wav,Department64,https://creativecommons.org/licenses/by/4.0/,"['air', 'blow', 'flute', 'untuned', 'whistle']",608005,data/collections/instruments/sounds/608005_861714-hq.ogg
23,a8p3-transformed-3.wav,Hammer0nZ,http://creativecommons.org/publicdomain/zero/1.0/,"['44100', 'HPS', 'Hammer0nZ', 'flute', 'mono']",258154,data/collections/instruments/sounds/258154_4819188-hq.ogg
24,a8p2-transformed-2.wav,Hammer0nZ,http://creativecommons.org/publicdomain/zero/1.0/,"['44100', 'HPS', 'Hammer0nZ', 'flute', 'mono']",258153,data/collections/instruments/sounds/258153_4819188-hq.ogg
25,cello-D2.wav,xserra,http://creativecommons.org/publicdomain/zero/1.0/,"['D2', 'Sony-PCM-D50', 'cello', 'good-sounds', 'mezzo-forte', 'mf', 'microphone', 'multisample', 'pabloproject', 'single-note']",257996,data/collections/instruments/sounds/257996_43-hq.ogg
26,Violoncello D-4 Tenuto Vibrato,Carlos_Vaquero,https://creativecommons.org/licenses/by-nc/4.0/,"['cello', 'chordophone', 'd-4', 'mezzoforte', 'multisample', 'string-instrument', 'tenuto', 'vibrato', 'violoncello', 'zoom-h2n']",153769,data/collections/instruments/sounds/153769_2626346-hq.ogg
27,9_cello_G#4_Ab4.wav,flcellogrl,https://creativecommons.org/licenses/by/4.0/,"['F-sharp', 'G-flat', 'Gb', 'cello', 'instrument', 'scale', 'string', 'stringed-instrument', 'violoncello']",195702,data/collections/instruments/sounds/195702_3623377-hq.ogg
28,cello-double-string-phrase.wav,xserra,https://creativecommons.org/licenses/by/4.0/,"['bowing', 'cello', 'double-stop', 'string', 'stringed-instrument', 'violoncello']",223370,data/collections/instruments/sounds/223370_43-hq.ogg
29,Cello_mono.wav,speedyrce,http://creativecommons.org/publicdomain/zero/1.0/,"['cello', 'long', 'note']",329777,data/collections/instruments/sounds/329777_2639130-hq.ogg
30,c_s cello G4.aif,tim.kahn,https://creativecommons.org/licenses/by/4.0/,"['acoustic', 'cello', 'multisample', 'pizzicato', 'pluck', 'strings', 'zoom']",42260,data/collections/instruments/sounds/42260_7037-hq.ogg
31,Cello Section - spiccato - F#4 (spic_G3_v2_RR2.wav),sgossner,http://creativecommons.org/publicdomain/zero/1.0/,"['cello', 'cello-section', 'fsharp4', 'midi-note-67', 'midi-velocity-95', 'multisample', 'single-note', 'spiccato', 'strings', 'vsco-2']",372813,data/collections/instruments/sounds/372813_2475994-hq.ogg
32,cello-voice-morph.wav,xserra,https://creativecommons.org/licenses/by/4.0/,"['cello', 'morph', 'voice']",6,data/collections/instruments/sounds/6_43-hq.ogg
