,name,username,license,tags,freesound_id,path
0,violin spiccato B5.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['spiccato', 'violin']",56199,files/56199_692375-hq.ogg
1,violin tremolo G2.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['tremolo', 'violin']",56089,files/56089_692375-hq.ogg
2,violin scrapey.aiff,nannygrimshaw,http://creativecommons.org/licenses/by/3.0/,['violin'],48684,files/48684_187765-hq.ogg
3,32Violin.wav,fschaeffer,http://creativecommons.org/licenses/by-nc/3.0/,"['simple', 'Violin', 'c']",337897,files/337897_5997821-hq.ogg
4,Violin strum1.wav,bennstir,http://creativecommons.org/licenses/by/3.0/,"['strum', 'violin']",81807,files/81807_16052-hq.ogg
5,el violin melody 3.wav,owstu,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'electric-violin', 'melody', 'strings']",508530,files/508530_1690102-hq.ogg
6,violin pizz vib F#5.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['pizzicato', 'vibrato', 'violin']",56025,files/56025_692375-hq.ogg
7,violin pizz non vib B5.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['non-vibrato', 'pizzicato', 'violin']",55966,files/55966_692375-hq.ogg
8,violin arco non vib C4.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['arco', 'non', 'vibrato', 'violin']",55889,files/55889_692375-hq.ogg
9,violin arco vib F#3.aif,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"['arco', 'vibrato', 'violin']",55941,files/55941_692375-hq.ogg
10,d_scale_violin.wav,oleviolin,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'fiddle', 'd-major', 'scale']",557469,files/557469_10909063-hq.ogg
11,voilinpart2expanded.wav,jcveliz,http://creativecommons.org/licenses/sampling+/1.0/,"['modified', 'sample', 'violin']",92005,files/92005_1499847-hq.ogg
12,v_A.wav,menegass,http://creativecommons.org/publicdomain/zero/1.0/,"['mellotron', 'violin']",107319,files/107319_29308-hq.ogg
13,Bow tapping violin thru delay pedal 1,ladystarlightnyc,http://creativecommons.org/licenses/by/3.0/,"['fx', 'bow', 'delay', 'percussion', 'pedal', 'violin', 'experimental']",197859,files/197859_3416499-hq.ogg
14,violin_rise_up_03.aif,HerraBilbo,http://creativecommons.org/licenses/by/3.0/,"['Unprossessed', 'string', 'bow', 'recording', 'field', 'clean', 'violin', 'riser', 'distortion']",361565,files/361565_6513061-hq.ogg
15,g4.wav,hammondman,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'arco', 'keman']",333744,files/333744_3222989-hq.ogg
16,pizzastring3.wav,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"['d', 'multisample', 'pizzicato', 'violin']",61928,files/61928_4948-hq.ogg
17,G3.wav,jeudyx,http://creativecommons.org/publicdomain/zero/1.0/,"['note', 'violin', 'open']",332598,files/332598_5833352-hq.ogg
18,violin whistling,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'transformation', 'high-pitch']",494670,files/494670_10350281-hq.ogg
19,violin bell,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'transformation', 'high-pitch']",494643,files/494643_10350281-hq.ogg
20,violin impulse,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'attack', 'transformation']",494667,files/494667_10350281-hq.ogg
21,violin sequence,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'transformation', 'sequence']",502306,files/502306_10350281-hq.ogg
22,Violin - F6,MTG,http://creativecommons.org/licenses/by/3.0/,"['F6', 'neumann-U87', 'multisample', 'violin', 'single-note', 'good-sounds']",355814,files/355814_6552981-hq.ogg
23,violin pizzicati 2,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'pizzicato', 'transformation']",494552,files/494552_10350281-hq.ogg
24,violin pizzicato 7,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'pizzicato', 'transformation']",494669,files/494669_10350281-hq.ogg
25,violin swish 2,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'transformation', 'filtered']",494682,files/494682_10350281-hq.ogg
26,violin tremolo 4,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'tremolo', 'transformation']",494668,files/494668_10350281-hq.ogg
27,Violin Bridge Harmonics Low,Department64,http://creativecommons.org/licenses/by/3.0/,"['Instrument', 'Harmonics', 'Strings', 'Violin']",528200,files/528200_861714-hq.ogg
28,Violin Tenuto Non-Vibrato Glissando 5,Carlos_Vaquero,http://creativecommons.org/licenses/by-nc/3.0/,"['violin', 'chordophone', 'string-instrument', 'mezzoforte', 'tenuto', 'non-vibrato', 'glissando', 'zoom-h2n', 'multisample']",153627,files/153627_2626346-hq.ogg
29,violin percussion,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'transformation', 'percussion']",494538,files/494538_10350281-hq.ogg
30,Blues Violin improvisation.wav,TheFlyFishingFilmmaker,http://creativecommons.org/licenses/by/3.0/,"['lick', 'violins', 'jazz', 'arpeggio', 'fiddle', 'acoustic', 'violin', 'blues']",621591,files/621591_6501596-hq.ogg
31,violin pizzicati 3,PhonosUPF,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'pizzicato', 'transformation']",494553,files/494553_10350281-hq.ogg
