,freesound_id,path,start_sample,end_sample,mean_pitch,loudness,voiced_fraction,pitch_drift_cents,pitch_confidence,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,,data/targets/over_the_rainbow/audio.wav,11136,27776,60.0,0.05444460849413464,1.0,28.14822999973177,0.19684454798698425,-676.5353,114.28371,26.449682,-19.617609,-51.30581,-17.295088,-13.533797,-8.87365,-38.40916,-25.283514,-13.494569,-17.385187,-15.305893
1,,data/targets/over_the_rainbow/audio.wav,28032,41088,60.0,0.06307967814258617,1.0,34.43989899055105,0.19684454798698425,-656.76874,115.64752,11.865379,-22.296453,-51.584988,-24.218863,-16.16429,-11.565911,-43.862625,-20.646757,-16.78344,-15.799754,-17.873098
2,,data/targets/over_the_rainbow/audio.wav,41344,56576,60.0,0.05501118751227144,1.0,33.80304223388554,0.19684454798698425,-691.58234,117.504135,19.40454,-21.268406,-44.636616,-24.577496,-10.557875,-1.9921886,-40.083393,-17.811316,-21.311077,-19.97537,-26.599625
3,,data/targets/over_the_rainbow/audio.wav,56832,69760,60.0,0.07938916949791425,1.0,31.313937647039722,0.19684454798698425,-681.3718,120.83189,21.767515,-12.340964,-43.44115,-31.846123,-12.123618,-3.5140343,-44.17377,-25.712519,-24.795877,-24.75891,-23.878794
4,,data/targets/over_the_rainbow/audio.wav,70016,82944,56.0,0.04781483689351689,1.0,229.51190544179792,0.19684454798698425,-733.0079,152.26646,30.962082,8.669288,-23.669182,-15.5321045,-15.333466,-17.193434,-36.575054,-15.39429,-26.172348,-9.704924,-28.70376
5,,data/targets/over_the_rainbow/audio.wav,83200,104704,55.0,0.04304863701957716,1.0,30.237096324906002,0.19684454798698425,-705.51776,127.54686,22.522535,1.7631325,-13.675041,-11.147006,-16.860676,-22.971613,-46.721184,-16.946735,-28.181799,-6.6980553,-23.345997
6,,data/targets/over_the_rainbow/audio.wav,139136,152320,57.0,0.06335989451741018,1.0,116.99463228763805,0.2236500382423401,-733.4633,141.5229,71.18719,5.202638,-60.48453,-51.574192,-22.557146,7.475741,-37.83387,-1.6347107,-40.324306,-18.28699,-23.885965
7,,data/targets/over_the_rainbow/audio.wav,152576,169856,59.0,0.0780863294246051,1.0,39.41194097722429,0.2236500382423401,-671.21686,124.26682,30.40173,-2.5469885,-44.294277,-24.944965,-24.250286,-25.414059,-44.692097,-20.861877,-33.009132,-14.2647705,-7.6938257
8,,data/targets/over_the_rainbow/audio.wav,170112,183040,59.0,0.05695096981312242,1.0,65.63192362305098,0.2236500382423401,-708.50146,106.84793,29.827324,2.09252,-50.049976,-11.142291,-7.2886024,-25.629103,-57.82871,-30.888023,-36.023827,-4.9171443,-0.2638991
9,,data/targets/over_the_rainbow/audio.wav,183296,196224,59.0,0.07173706302684371,1.0,74.4827270838827,0.2236500382423401,-674.20526,118.62564,18.600607,-6.2527566,-34.933544,-14.591918,-25.086584,-33.953575,-59.700943,-28.896948,-27.327856,-6.1954074,-5.599507
10,,data/targets/over_the_rainbow/audio.wav,196480,209408,61.0,0.08177822792654031,1.0,109.64696168018101,0.2236500382423401,-695.1274,117.08606,11.126128,10.322113,-16.215273,-16.693857,-43.924473,-32.045025,-35.02537,-19.31462,-44.311787,-21.908674,-4.7798157
11,,data/targets/over_the_rainbow/audio.wav,209664,225664,62.0,0.09348627603985304,1.0,133.77154572282166,0.2236500382423401,-707.71094,111.75078,12.26308,17.484428,-17.897741,-29.81075,-43.655003,-38.937206,-37.859455,-17.233524,-48.325794,-21.390022,-0.20453002
12,,data/targets/over_the_rainbow/audio.wav,227200,240384,59.0,0.04821227553137393,1.0,50.67823674312425,0.17779627442359924,-722.103,122.76697,44.53473,0.08344996,-48.558044,-41.859055,-27.848425,-0.38988242,-40.976833,-28.16805,-28.027792,-13.3091,-15.75442
13,,data/targets/over_the_rainbow/audio.wav,240640,253696,58.0,0.06199560829922322,1.0,129.94369652558368,0.17779627442359924,-720.4953,129.19313,41.890656,5.890196,-35.832558,-38.278164,-29.379667,-4.308857,-42.683502,-17.861002,-29.569109,-25.35585,-29.09773
14,,data/targets/over_the_rainbow/audio.wav,310528,316416,65.0,0.09975541003231576,1.0,14.255381143267725,0.2101271003484726,-714.2465,136.36002,31.153269,14.719792,-29.674707,-13.93559,-30.997477,-33.786953,-57.409065,-37.364082,-31.201946,-17.453236,-11.639838
15,,data/targets/over_the_rainbow/audio.wav,322816,336000,56.0,0.07870371462079997,1.0,349.3259445321238,0.2050224393606186,-717.5479,131.97334,50.588634,5.5052476,-20.729324,-6.3049927,-17.296814,-4.1519914,-30.743551,-32.941418,-37.066463,-16.246275,-13.105025
16,,data/targets/over_the_rainbow/audio.wav,336256,361344,60.0,0.06643174656828059,1.0,39.2274683186952,0.2050224393606186,-733.4785,124.75375,56.888584,3.8409889,-40.83279,-15.857235,-16.665539,-15.389228,-42.572384,-26.532782,-38.26332,-13.996066,-6.870666
17,,data/targets/over_the_rainbow/audio.wav,363648,374528,56.0,0.07484217251168612,1.0,113.99551805827188,0.21811725199222565,-653.826,119.54154,31.227997,-1.5597359,-12.011472,-12.568716,-26.691952,-27.354858,-44.325737,-21.04479,-22.711231,-7.194693,-12.802652
18,,data/targets/over_the_rainbow/audio.wav,385920,400256,55.0,0.044104606647623286,1.0,65.11997253845952,0.13177776336669922,-663.40076,118.51348,33.143112,-14.721312,-39.89953,-2.7978048,-10.405625,-4.49026,-39.353523,-16.971958,-7.9833364,0.06825101,-28.056389
19,,data/targets/over_the_rainbow/audio.wav,400512,415872,55.0,0.04802636986685243,1.0,32.92171798969293,0.13177776336669922,-662.4022,105.88697,30.467556,15.168191,-22.791044,-5.7433176,-21.164572,-23.508068,-35.10957,-9.247309,-26.476362,-8.775135,-20.723011
20,,data/targets/over_the_rainbow/audio.wav,416128,439680,57.0,0.05865071896537199,1.0,383.74724984471226,0.16689259267371634,-715.5844,101.27805,35.732273,29.354328,-14.159242,-10.472378,-19.869043,-33.497883,-28.193682,-9.18032,-31.250185,-12.486149,-6.831911
